City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,el bauga,18.262,33.9081,312.41,14,1,2.47,SD,1715332751
258,faya-largeau,17.9257,19.1043,315.22,7,53,6.68,TD,1715332515
259,turkmenbasy,40.0222,52.9552,298.58,31,0,6.17,TM,1715332753
260,krasnoturansk,54.3186,91.5639,292.17,35,100,5.81,RU,1715332753
261,ciutadella,40.0011,3.8414,294.6,64,0,0.72,ES,1715332754
262,deoli,25.75,75.3833,316.84,10,27,5.46,IN,1715332755
263,hinjilikatu,19.4833,84.75,309.13,47,0,9.89,IN,1715332756
264,williston,48.147,-103.618,282.06,71,23,3.63,US,1715332757
265,west island,-12.1568,96.8225,299.14,94,100,6.69,CC,1715332758
266,belaya kholunitsa,58.84,50.8528,273.92,86,100,6.01,RU,1715332759
267,urumqi,43.801,87.6005,306.68,6,0,7.0,CN,1715332568
268,piacabucu,-10.4056,-36.4344,297.91,83,24,1.47,BR,1715332760
269,yantarnyy,54.8717,19.9381,283.07,97,100,7.08,RU,1715332762
270,yanam,16.7333,82.2167,307.91,48,35,3.8,IN,1715332762
271,hadibu,12.65,54.0333,304.15,63,49,2.22,YE,1715332763
272,koutiala,12.3917,-5.4642,307.1,39,99,4.78,ML,1715332764
273,collie,-33.3667,116.15,291.11,88,27,5.58,AU,1715332764
274,camana,-16.6228,-72.7111,290.62,92,72,2.75,PE,1715332765
275,suntar,62.1444,117.6319,276.58,50,100,2.8,RU,1715332766
276,biltine,14.5333,20.9167,313.33,8,98,3.99,TD,1715332767
277,colonia menno,-22.3667,-59.8167,288.37,83,13,0.45,PY,1715332767
278,lincoln,40.8,-96.667,284.71,84,0,0.45,US,1715332768
279,sao joaquim,-28.2939,-49.9317,287.67,99,100,1.34,BR,1715332769
280,sao joao da barra,-21.6403,-41.0511,296.27,90,12,3.08,BR,1715332769
281,bereket,39.2446,55.5154,298.86,25,0,4.01,TM,1715332770
282,arar,30.9753,41.0381,305.16,8,0,8.75,SA,1715332771
283,nadi,-17.8,177.4167,294.15,73,20,2.57,FJ,1715332695
284,bayanhongor,46.7167,100.1167,285.36,13,46,5.34,MN,1715332772
285,waingapu,-9.6567,120.2641,300.4,75,92,6.26,ID,1715332773
286,labrador city,52.9463,-66.9114,271.58,68,0,1.03,CA,1715332773
287,ballina,-28.8667,153.5667,289.14,65,52,2.91,AU,1715332577
288,caleta de carquin,-11.0925,-77.6267,291.22,92,17,4.81,PE,1715332775
289,kavaratti,10.5669,72.642,303.19,67,100,4.32,IN,1715332776
290,ketchikan,55.3422,-131.6461,282.41,100,100,3.6,US,1715332695
291,dzhambeyty,50.2536,52.595,285.52,31,57,6.01,KZ,1715332777
292,kourou,5.1552,-52.6478,298.18,93,100,2.62,GF,1715332779
293,broome,42.2506,-75.833,283.49,96,100,3.09,US,1715332780
294,queenstown,-31.8976,26.8753,300.55,24,1,12.62,ZA,1715332517
295,ben gardane,33.1378,11.2197,294.02,57,1,5.97,TN,1715332781
296,whitehorse,60.7161,-135.0538,278.58,67,75,4.63,CA,1715332583
297,winslow,35.0242,-110.6974,280.25,29,0,2.57,US,1715332782
298,lata,40.1629,-8.3327,294.86,44,9,0.96,PT,1715332497
299,novyy urgal,51.0736,132.5642,287.19,27,100,2.77,RU,1715332784
300,rongelap,11.1635,166.8941,300.6,75,100,7.72,MH,1715332785
301,taoudenni,22.6783,-3.9836,309.84,6,94,8.03,ML,1715332785
302,esfarayen,37.0765,57.5101,290.96,40,45,2.38,IR,1715332786
303,krasnozerskoye,53.9828,79.2374,296.03,48,100,8.12,RU,1715332787
304,toyooka,35.5333,134.8333,296.18,33,0,1.54,JP,1715332788
305,saint-pierre,-21.3393,55.4781,300.97,61,0,12.86,RE,1715332676
306,thabazimbi,-24.5917,27.4116,299.12,19,0,1.47,ZA,1715332789
307,rio preto da eva,-2.6994,-59.6997,296.85,94,96,0.82,BR,1715332789
308,auki,-8.7676,160.7034,298.79,91,100,1.22,SB,1715332790
309,oranjemund,-28.55,16.4333,289.3,60,0,2.17,NA,1715332791
310,port augusta,-32.5,137.7667,288.42,69,0,5.77,AU,1715332791
311,broken hill,-31.95,141.4333,287.01,72,0,3.96,AU,1715332792
312,pasinler,39.9803,41.6764,290.7,31,76,5.52,TR,1715332793
313,san juan,-31.5375,-68.5364,281.06,47,0,3.18,AR,1715332794
314,phai sali,15.5976,100.6585,306.65,55,87,5.0,TH,1715332794
315,shizuishan,39.2333,106.7694,294.92,20,100,9.67,CN,1715332795
316,kavieng,-2.5744,150.7967,301.7,76,100,1.28,PG,1715332796
317,port elizabeth,-33.918,25.5701,295.43,70,20,2.06,ZA,1715332796
318,bestobe,52.4994,73.0975,291.33,32,94,6.66,KZ,1715332798
319,la sarre,48.8002,-79.1996,275.69,82,5,2.25,CA,1715332799
320,akdepe,42.0551,59.3788,294.2,17,100,4.11,TM,1715332799
321,simanggang,1.2472,111.4528,308.14,59,20,2.06,MY,1715332800
322,mejit,10.2753,170.8646,300.57,84,100,9.15,MH,1715332603
323,erdenet,49.0333,104.0833,284.74,19,100,8.63,MN,1715332801
324,bermeo,43.4209,-2.7215,298.28,58,100,0.56,ES,1715332802
325,guayaramerin,-10.8368,-65.3614,297.22,89,89,0.94,BO,1715332803
326,muravlenko,63.7898,74.523,274.25,94,73,8.56,RU,1715332804
327,akureyri,65.6835,-18.0878,279.11,61,75,1.03,IS,1715332804
328,imbituba,-28.24,-48.6703,289.94,91,100,2.22,BR,1715332805
329,saudarkrokur,65.7461,-19.6394,279.13,50,100,0.43,IS,1715332806
330,tanumah,27.1,44.1333,306.29,16,0,7.08,SA,1715332807
331,ouani,-12.1322,44.4258,301.09,68,23,5.45,KM,1715332807
332,jerome,42.7241,-114.5186,282.41,59,0,4.63,US,1715332808
333,tofol,5.3248,163.0078,301.12,77,100,1.07,FM,1715332809
334,nahiyat ash shinafiyah,31.5874,44.6602,306.25,13,0,0.53,IQ,1715332810
335,caransebes,45.4167,22.2167,291.04,63,77,1.39,RO,1715332810
336,antsiranana,-12.2787,49.2917,303.5,56,0,7.85,MG,1715332811
337,ola,59.5833,151.2833,277.12,85,60,1.35,RU,1715332812
338,huilong,31.8111,121.655,292.8,73,0,9.13,CN,1715332812
339,itoman,26.1247,127.6694,298.58,61,75,12.0,JP,1715332813
340,greenville,35.6127,-77.3663,292.16,96,0,2.06,US,1715332814
341,tumayr,25.7039,45.868,306.02,15,0,3.68,SA,1715332814
342,khabary,53.6259,79.5345,297.5,42,100,8.06,RU,1715332815
343,peniche,39.3558,-9.3811,291.64,74,62,2.74,PT,1715332816
344,torres,-29.3353,-49.7269,290.85,89,100,2.41,BR,1715332816
345,lamu,-2.2717,40.902,300.64,84,95,7.61,KE,1715332817
346,nuuk,64.1835,-51.7216,272.49,93,100,5.14,GL,1715332766
347,cidreira,-30.1811,-50.2056,290.88,68,100,5.63,BR,1715332818
348,zaozersk,69.4005,32.4476,273.23,95,100,5.32,RU,1715332819
349,berezovyy,51.6667,135.7,286.66,34,98,3.19,RU,1715332820
350,fort bragg,35.139,-79.006,293.06,91,0,4.12,US,1715332820
351,tateyama,34.9833,139.8667,294.32,74,0,6.38,JP,1715332588
352,gwadar,25.1216,62.3254,303.84,64,0,3.78,PK,1715332822
353,zhenjiang,32.2092,119.4342,299.74,60,32,5.01,CN,1715332822
354,oriximina,-1.7656,-55.8661,297.13,94,100,1.48,BR,1715332823
355,miyako,39.6367,141.9525,287.24,67,86,0.46,JP,1715332824
356,ixtapa,20.7,-105.2,296.05,76,71,1.03,MX,1715332824
357,tokmok,42.8417,75.3016,294.64,65,61,3.82,KG,1715332825
358,yoichi,43.2039,140.7703,285.08,60,100,2.95,JP,1715332826
359,baran,25.1,76.5167,317.0,9,2,3.39,IN,1715332826
360,ariquemes,-9.9133,-63.0408,297.08,91,59,0.64,BR,1715332827
361,aykhal,66.0,111.5,267.25,84,100,4.68,RU,1715332828
362,keflavik,64.0049,-22.5624,281.39,71,100,4.12,IS,1715332829
